rank,alpha,trainable_layers,lr,weight_decay,num_epochs,pre_train_acc,pre_val_acc,pre_test_acc,final_train_acc,final_val_acc,final_test_acc,train_loss_last,val_loss_last,examples_seen,minutes
4,4,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.9781717737515767
8,4,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.9818971157073968
16,4,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.977053757508596
32,4,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.9774699131647744
4,8,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.97610471645991
8,8,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.967237369219462
16,8,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.9845987796783449
32,8,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.976557664076488
4,16,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.973481015364329
8,16,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.994806897640228
16,16,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.9783763329188029
32,16,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.983328147729238
4,32,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.975916039943695
8,32,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.9802044034004207
16,32,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.0045213222458187,0.1006043753639364,20800,1.9793073733647664
32,32,last_block,5e-05,0.1,20,0.453125,0.53125,0.609375,0.9971153846153846,0.9731543624161074,0.97,0.004521322245818737,0.10060437536393645,20800,1.9749627033869426
